G01,2,2,1,63,1694700000,1694700000,1694692836,2.65599746923360E+07,1.28659920301288E-02,9.90581457533809E-01,3.90219505774435E-01,9.92483713318969E-01,-2.52795994726737E+00,3.72658379860195E-09,-7.43030950221534E-09,4.35018120250831E-10,1.89593750000000E+02,8.36875000000000E+01,4.07919287681580E-06,1.05854123830795E-05,1.69500708580017E-07,-9.87201929092407E-08,3.96000000000000E+05,4.00000000000000E+00,1.65523961186409E-04,-9.09494701772928E-13,0.00000000000000E+00,5.12227416038513E-09,1,0
G02,2,2,0,0,1694700000,1694700000,1694692836,2.65611445672992E+07,1.59754795022309E-02,9.67889433005618E-01,2.89257642341857E-01,-1.34614615732790E+00,1.61636013337319E-01,4.31553690229129E-09,-8.12640992616351E-09,2.27866634417102E-10,1.72687500000000E+02,6.52500000000000E+01,3.28570604324341E-06,1.12056732177734E-05,-1.97440385818481E-07,-1.73225998878479E-07,3.96000000000000E+05,4.00000000000000E+00,-5.54041471332312E-04,4.43378667114302E-12,0.00000000000000E+00,-1.76951289176941E-08,1,0
G03,2,2,0,0,1694700000,1694700000,1694692836,2.65595516005203E+07,5.12492679990828E-03,9.80190645926227E-01,1.41981711868201E+00,1.10870144092810E+00,2.55197469258362E+00,4.53518890882188E-09,-8.18891252964783E-09,8.71464871438447E-11,3.41593750000000E+02,2.59375000000000E+01,1.20513141155243E-06,2.37300992012024E-06,-2.04890966415405E-08,-1.09896063804626E-07,3.96000000000000E+05,4.00000000000000E+00,-1.35655049234629E-04,2.04636307898909E-11,0.00000000000000E+00,1.86264514923096E-09,1,0
G04,2,2,0,0,1694700000,1694700000,1694692836,2.65598838652228E+07,2.53999629057944E-03,9.63561612231654E-01,2.50066253812929E+00,-3.04110823834200E+00,-7.09759334382329E-01,4.43232748137341E-09,-8.03354891527253E-09,-5.19307345521107E-10,2.14718750000000E+02,-8.97500000000000E+01,-4.81866300106049E-06,8.67992639541626E-06,3.53902578353882E-08,-7.45058059692383E-09,3.96000000000000E+05,4.00000000000000E+00,1.55752059072256E-04,1.11413100967184E-11,0.00000000000000E+00,-4.19095158576965E-09,1,0
G07,2,2,0,0,1694700000,1694700000,1694692836,2.65609415585470E+07,1.75452864496037E-02,9.50776198296416E-01,-2.76858971574310E+00,-2.17308462274853E+00,3.05976610388270E+00,4.30339353932862E-09,-7.63246077977033E-09,3.36799743346908E-10,1.43937500000000E+02,3.75000000000000E+01,1.76765024662018E-06,1.16508454084396E-05,5.77419996261597E-08,-1.63912773132324E-07,3.96000000000000E+05,4.00000000000000E+00,6.75036571919918E-05,-1.04591890703887E-11,0.00000000000000E+00,-1.11758708953857E-08,1,0
G08,2,2,1,0,1694700000,1694700000,1694692836,2.65611358382607E+07,8.62614193465561E-03,9.57013140330086E-01,-7.04444002943153E-01,2.71570324931235E-01,-3.76923043351976E-01,4.60126308964816E-09,-8.21998525252289E-09,-4.10731394325497E-10,2.14500000000000E+02,-5.83750000000000E+01,-2.94484198093414E-06,8.35582613945007E-06,1.35973095893860E-07,7.07805156707764E-08,3.96000000000000E+05,4.00000000000000E+00,-1.42214354127645E-04,-1.93267624126747E-12,0.00000000000000E+00,5.12227416038513E-09,1,0
G09,2,2,0,0,1694700000,1694700000,1694692836,2.65590736234714E+07,2.73121311329305E-03,9.56885404175077E-01,2.44311039292000E+00,1.94131820824422E+00,1.90450812309356E-01,4.65376527657498E-09,-8.22248535666226E-09,-5.15378610444950E-10,2.22906250000000E+02,-9.37812500000000E+01,-4.92855906486511E-06,8.04662704467773E-06,-3.16649675369263E-08,2.79396772384644E-08,3.96000000000000E+05,4.00000000000000E+00,-5.99515624344349E-05,1.02318153949454E-11,0.00000000000000E+00,9.31322574615479E-10,1,0
G16,2,2,0,0,1694700000,1694700000,1694692836,2.65601260515434E+07,1.33803455391899E-02,9.63667564073545E-01,-1.63523004303781E+00,7.93404104008440E-01,6.09888001769022E-01,4.75876965042863E-09,-8.49428239238548E-09,5.35736601294127E-12,3.07968750000000E+02,1.41562500000000E+01,8.95932316780090E-07,3.81655991077423E-06,-1.63912773132324E-07,1.62050127983093E-07,3.96000000000000E+05,4.00000000000000E+00,-4.54277731478214E-04,5.57065504835918E-12,0.00000000000000E+00,-1.02445483207703E-08,1,0
G21,2,2,1,0,1694700000,1694700000,1694692836,2.65593147051758E+07,2.47857962967828E-02,9.62177922869724E-01,2.83591375873401E-01,-7.07005619313329E-01,-3.57753133076838E-01,4.49161566524996E-09,-8.24641492485340E-09,3.53228999119928E-10,1.78031250000000E+02,6.15312500000000E+01,2.95974314212799E-06,1.07940286397934E-05,-8.00937414169312E-08,-4.74974513053894E-07,3.96000000000000E+05,4.00000000000000E+00,1.48920342326164E-04,-7.95807864051312E-13,0.00000000000000E+00,-1.02445483207703E-08,1,0
G26,2,2,0,0,1694700000,1694700000,1694692836,2.65611128557318E+07,8.17459647078067E-03,9.32658632289927E-01,-1.79481718694007E+00,4.68306026414309E-01,1.46783729784093E+00,5.46272754452911E-09,-8.74214985991756E-09,1.42148778210042E-10,2.90562500000000E+02,3.53125000000000E+01,1.91852450370789E-06,3.92645597457886E-06,-6.70552253723145E-08,8.94069671630859E-08,3.96000000000000E+05,4.00000000000000E+00,2.28528399020433E-04,-1.81898940354586E-12,0.00000000000000E+00,6.98491930961609E-09,1,0
G27,2,2,0,0,1694700000,1694700000,1694692836,2.65603154133516E+07,1.16199415642768E-02,9.65965662084266E-01,-6.80173628784650E-01,7.42157952029084E-01,-3.05002880411365E-01,4.43197032363921E-09,-8.19676999980014E-09,-3.91444876678909E-10,2.19250000000000E+02,-5.20937500000000E+01,-2.58535146713257E-06,8.63336026668549E-06,4.09781932830811E-08,1.62050127983093E-07,3.96000000000000E+05,4.00000000000000E+00,-3.93339432775974E-05,-6.25277607468888E-12,0.00000000000000E+00,1.39698386192322E-09,1,0
