2279,388850.000,G26,1C,49.8,21121937.633,99001.311,-2472.606,0
2279,388850.000,G04,1C,48.7,22103571.049,-86770.844,1856.376,0
2279,388850.000,G07,1C,43.8,24060431.888,-61352.625,1348.624,0
2279,388850.000,G27,1C,45.6,23232751.273,-77398.100,1941.007,0
2279,388850.000,G03,1C,53.3,19951282.011,-40224.582,835.827,0
2279,388850.000,G01,1C,46.6,23172512.546,81247.911,-2099.596,0
2279,388850.000,G21,1C,44.7,23455652.240,58418.440,-1414.661,0
2279,388850.000,G02,1C,44.5,23381055.857,80659.730,-1678.058,0
2279,388850.000,G16,1C,53.3,19843058.937,6033.257,-157.019,0
2279,388850.000,G08,1C,44.6,23897865.293,-94275.604,2104.883,0
2279,388850.000,G09,1C,42.7,24034021.838,-100882.329,2270.819,0
2279,388850.000,G31,1C,46.6,22981109.204,101483.471,-2595.146,0
